site,site.general,lake.stream,site.test.x,DO.percent.B.coeff.mean,DO.mgl.B.coeff.mean,cond.uS.B.coeff.mean,temp.C.B.coeff.mean,Salinity.ppt.B.coeff.mean,mean.DO.percent.0.5m,mean.DO.percent.1m,mean.DO.percent.1.5m,mean.DO.percent.2m,mean.DO.percent.2.5m,mean.DO.percent.3m,mean.DO.percent.3.5m,mean.DO.percent.4m,mean.DO.percent.4.5m,mean.DO.percent.5m,mean.DO.mgl.0.5m,mean.DO.mgl.1m,mean.DO.mgl.1.5m,mean.DO.mgl.2m,mean.DO.mgl.2.5m,mean.DO.mgl.3m,mean.DO.mgl.3.5m,mean.DO.mgl.4m,mean.DO.mgl.4.5m,mean.DO.mgl.5m,mean.cond.uS.0.5m,mean.cond.uS.1m,mean.cond.uS.1.5m,mean.cond.uS.2m,mean.cond.uS.2.5m,mean.cond.uS.3m,mean.cond.uS.3.5m,mean.cond.uS.4m,mean.cond.uS.4.5m,mean.cond.uS.5m,mean.temp.C.0.5m,mean.temp.C.1m,mean.temp.C.1.5m,mean.temp.C.2m,mean.temp.C.2.5m,mean.temp.C.3m,mean.temp.C.3.5m,mean.temp.C.4m,mean.temp.C.4.5m,mean.temp.C.5m,mean.Salinity.ppt.0.5m,mean.Salinity.ppt.1m,mean.Salinity.ppt.1.5m,mean.Salinity.ppt.2m,mean.Salinity.ppt.2.5m,mean.Salinity.ppt.3m,mean.Salinity.ppt.3.5m,mean.Salinity.ppt.4m,mean.Salinity.ppt.4.5m,mean.Salinity.ppt.5m,site.test.y,mean.percent.canopy.cover,site.test,numb.trappings
BeaL13,Bea,L,BeaL13,-11.23,-0.98,0.02,-0.21,0,94.45,94.5,87.3,81.8,NA,NA,NA,NA,NA,NA,9.17,8.9,8.515,8.1,NA,NA,NA,NA,NA,NA,30.6,30.6,30.65,30.5,NA,NA,NA,NA,NA,NA,17.3,17.3,17.15,17.1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,BeaL13,17.18,BeaL13,2
BeaS13,Bea,S,BeaS13,-11.8,-0.7,0.6,0,0,95.8,89.9,NA,NA,NA,NA,NA,NA,NA,NA,10.19,9.84,NA,NA,NA,NA,NA,NA,NA,NA,34.05,34.35,NA,NA,NA,NA,NA,NA,NA,NA,11.2,11.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,BeaS13,93.16,BeaS13,1
BooL13,Boo,L,BooL13,-0.72,-0.09,-0.25,-0.16,0,96.5,94.15,94.1,94.1,94,94.55,92.3,93.3,NA,NA,9.535,9.125,9.06,9.1,9.01,9.125,9.035,9.04,NA,NA,19.2,20.8,19.05,19.05,19,19,19,19,NA,NA,17.3,17.3,17.2,17.1,17.05,17,17,16.7,NA,NA,0,0,0,0,0,0,0,0,NA,NA,BooL13,9.98,BooL13,1
BooS13,Boo,S,NA,NA,NA,NA,NA,NA,87.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,BooS13,2.31,BooS13,1
ComL13,Com,L,ComL13,-3.92,-0.38,-0.25,-0.36,0,93.1,92.7,91.6,88.7,85.3,NA,NA,NA,NA,NA,9.45,9.23,9.145,8.91,8.675,NA,NA,NA,NA,NA,15.8,15.75,15.5,15.3,15.4,NA,NA,NA,NA,NA,15.6,15.7,15.35,15.1,15,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,ComL13,30.08,ComL13,2
ComS13,Com,S,ComS13,-1.71,-0.44,-0.05,-0.14,0,85.4,84.35,86.4,84.3,NA,NA,NA,NA,NA,NA,8.88,8.74,9.01,8.28,NA,NA,NA,NA,NA,NA,15.3,15.15,15.2,15.2,NA,NA,NA,NA,NA,NA,13.85,13.8,13.6,13.6,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,ComS13,5.67,ComS13,2
FreL13,Fre,L,FreL13,-1.1,-0.09,-0.1,-0.34,0,94.2,94.05,93.05,93.1,92.85,89.1,NA,NA,NA,NA,9.05,8.9,8.9,8.85,8.75,8.9,NA,NA,NA,NA,32.1,32.1,32.1,32.15,32.1,31.4,NA,NA,NA,NA,17.95,17.9,17.9,17.9,17.9,15.6,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,FreL13,5.46,FreL13,4
FreS13,Fre,S,FreS13,-7.3,-0.19,-0.1,-0.2,0,88.95,85.3,NA,NA,NA,NA,NA,NA,NA,NA,9.605,9.51,NA,NA,NA,NA,NA,NA,NA,NA,38.25,38.2,NA,NA,NA,NA,NA,NA,NA,NA,12.15,12.05,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,FreS13,59.67,FreS13,5
JoeL13,Joe,L,JoeL13,-6.27,-0.16,-4.59,-2.42,0,92.75,90,85.6,81.05,85.95,74.15,NA,NA,NA,NA,8.835,8.685,8.585,8.155,8.9,8.25,NA,NA,NA,NA,65.5,65.3,65.45,67.2,58.1,53.4,NA,NA,NA,NA,16.65,16.55,16.1,15.35,12.9,10.5,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,JoeL13,6.32,JoeL13,1
JoeS13,Joe,S,JoeS13,-13.4,-1.67,0.4,0,0,76.7,70,NA,NA,NA,NA,NA,NA,NA,NA,8.16,7.325,NA,NA,NA,NA,NA,NA,NA,NA,61.2,61.4,NA,NA,NA,NA,NA,NA,NA,NA,13.8,13.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,JoeS13,44.32,JoeS13,1
