fishID.univ,filename,habitat,watershed,sex,standard.length.from.calipers,jaw.opening.in.lever.length.mm,jaw.closing.in.lever.length.mm,jaw.out.lever.length.mm,buccal.cavity.length.mm,epaxial.area.mm.squared,gape.width.mm,L.outlever.neurocranium.mm,L.inlever.epaxial.height.mm,KT.fixed.link.mm,KT.coupler.link.mm,KT.input.link.mm,KT.output.link.mm,KT.diagonal.mm
BeaS13.045,Bea13LS.02_45.JPG,stream,Beaver,F,49.01,0.894716412,1.33630482,3.914474114,10.81500105,15.58221912,3.02,15.48744303,2.939982548,7.309538424,6.910485955,4.791817493,1.147396573,6.550899319
BeaS13.046,Bea13LS.02_46.JPG,stream,Beaver,F,52.25,0.973167233,1.417726205,4.151447645,11.62713704,15.31748209,2.69,16.84702785,2.499998135,8.610637649,7.753433731,5.074698064,1.036959653,7.347851443
BeaS13.047,Bea13LS.02_47.JPG,stream,Beaver,M,52.24,1.08080413,1.684843076,4.801592797,13.45494384,15.46522713,2.44,18.70273102,2.436634402,8.785414806,7.574097924,5.109720271,1.628097604,7.286740599
BeaS13.048,Bea13LS.02_48.JPG,stream,Beaver,F,55.08,1.084667489,1.454761465,4.703491442,13.59098427,15.4675142,3.36,18.86890907,3.070106634,9.977547037,8.550340576,6.247262644,1.467832958,8.215144431
BeaS13.049,Bea13LS.02_49.JPG,stream,Beaver,F,42.75,0.83610468,1.156845403,3.48198457,10.28571414,15.4811666,3.67,14.07487535,2.375441425,6.664108716,6.404637301,4.499501406,1.531880037,6.038034223
BeaS13.053,Bea13LS.02_53.JPG,stream,Beaver,F,53.55,1.08292413,1.323921181,4.444460858,11.85855962,15.39255541,3.77,18.04564402,4.004304168,8.774777998,8.563384432,5.809870946,1.046684735,8.264204596
BeaS13.054,Bea13LS.02_54.JPG,stream,Beaver,F,62.64,1.028828938,1.718959392,5.219571258,14.47108786,15.39189631,2.16,20.92788754,3.90166448,10.53283599,9.40198313,6.159242737,1.411119025,9.199842039
BeaS13.055,Bea13LS.02_55.JPG,stream,Beaver,F,52.09,0.982218768,1.410002626,4.091970565,12.04201305,15.46903792,4.1,16.96059913,3.007824685,8.354052939,7.742520246,5.177103329,1.054540342,7.540082818
BeaS13.060,Bea13LS.02_60.JPG,stream,Beaver,M,51.82,0.842790715,1.649369289,4.747898625,13.11420481,15.46522713,3.76,16.57915827,2.040153232,9.513466995,8.624801909,6.547922521,1.263232425,8.55252956
BeaS13.061,Bea13LS.02_61.JPG,stream,Beaver,M,52.52,1.040065548,1.798810067,4.943303174,11.40611617,15.35537319,3.65,17.29539864,2.564433423,9.246196249,9.107690829,6.804584532,1.392866013,8.781057751
BeaS13.062,Bea13LS.02_62.JPG,stream,Beaver,M?,51.71,0.93496142,1.726425287,4.674291336,12.45177989,15.39001069,4.14,16.68470234,2.402857414,9.065322786,8.65819895,5.937357741,1.308717859,8.747754485
BeaS13.064,Bea13LS.02_64.JPG,stream,Beaver,F,50.52,0.792524268,1.380987769,4.179540006,11.35675293,15.50545525,3.58,15.35793223,1.80521627,8.242056701,8.078452196,5.817587374,1.25551909,7.826431431
BeaS13.069,Bea13LS.02_69.JPG,stream,Beaver,F,50.73,0.863478433,1.470368075,4.072155693,9.733888548,15.3166425,2.11,15.56218982,2.177788158,8.918726507,8.823590997,6.00428444,0.894078896,8.644348051
BeaS13.070,Bea13LS.02_70.JPG,stream,Beaver,F,52.3,0.960781515,1.47662073,4.47847824,11.61913192,15.45619124,2.64,16.35269525,1.912937727,9.001503488,9.06349488,6.08405367,1.365145623,8.893288378
BeaS13.071,Bea13LS.02_71.JPG,stream,Beaver,M,46.17,0.957247141,1.464806401,4.218912567,10.07558132,15.49037441,3.7,14.60764363,1.9438587,7.634211201,7.404653019,5.451771003,1.314384235,7.254603709
BeaS13.073,Bea13LS.02_73.JPG,stream,Beaver,M,47.23,0.853156299,1.357634101,4.095802444,10.16281585,15.54656755,3.25,15.72028622,2.051769282,8.452771116,7.711098553,5.108291894,0.942634564,7.703347792
BeaS13.077,Bea13LS.02_77.JPG,stream,Beaver,M,49.1,0.913064606,1.548438132,4.351342435,11.73472202,15.3661979,3.47,15.8350082,2.047473848,8.40839498,7.687827344,5.372452003,1.182918374,7.774220332
BeaS13.078,Bea13LS.02_78.JPG,stream,Beaver,F,48.14,0.932794815,1.353560225,3.963581933,10.35860257,15.46837007,2.52,14.46861334,2.177068105,7.588149065,7.119718063,5.30755229,0.997349277,6.949879039
BeaS13.081,Bea13LS.02_81.JPG,stream,Beaver,F,54.12,1.000247218,1.566819699,4.266484812,11.24505208,15.39302785,3.47,16.00257892,2.992393856,8.701890597,7.866124329,5.622295756,1.031846271,7.684958641
BeaS13.084,Bea13LS.02_84.JPG,stream,Beaver,F,58.91,1.239833137,1.695442181,4.920081791,13.89864532,15.3873714,2.53,18.09400403,2.667998668,9.596490646,9.359436195,6.430881867,1.076171493,9.055385864
BeaL13.002,BeaL13.01_02.JPG,lake,Beaver,F,43.72,0.630822888,1.240716837,3.54712594,10.20141548,15.46979794,3.87,13.105123,1.825478257,6.666428075,6.326500873,5.098565828,0.731381598,6.199544634
BeaL13.003,BeaL13.01_03.JPG,lake,Beaver,M,40.52,0.488777525,1.229150696,3.486073261,9.547391618,15.50825598,4.15,12.764922,1.83136723,6.574127516,6.226744969,4.680532045,0.565232716,6.113934327
BeaL13.005,BeaL13.01_05.JPG,lake,Beaver,M,37.42,0.617048555,1.050829758,3.221531393,9.262791518,15.39302785,4.44,13.4327534,1.567573888,7.727152271,7.655391377,4.289311681,0.645311043,7.655391734
BeaL13.006,BeaL13.01_06.JPG,lake,Beaver,F,46.43,0.924327854,1.277009609,4.226168913,10.80808913,15.54454904,4.7,14.20353869,1.495960513,8.129522434,8.033982819,5.616197056,1.064527607,8.036291066
BeaL13.007,BeaL13.01_07.JPG,lake,Beaver,F,52.94,0.971087781,1.566406532,4.772972598,12.38465059,15.39302785,3.34,17.86247561,2.197567031,9.604851382,9.559801206,7.219049481,1.037752029,9.366335744
BeaL13.008,BeaL13.01_08.JPG,lake,Beaver,F,48.93,0.980873344,1.320420378,4.025766038,11.50059421,15.49280171,4.43,15.14527698,2.098994201,8.171357914,8.629760658,5.267114897,1.09350152,8.35144567
BeaL13.009,BeaL13.01_09.JPG,lake,Beaver,F,35.87,0.590760143,1.061767398,3.1223409,8.854805679,15.29213196,5.68,11.30656788,1.529076694,5.784499115,5.014902382,4.176682485,0.749391269,4.856289993
BeaL13.010,BeaL13.01_10.JPG,lake,Beaver,M,54.97,0.701015672,1.26188379,3.73568348,13.00440175,NA,3.98,16.79219358,1.959933979,9.216481548,8.285369067,6.870454687,0.99233877,8.091096142
BeaL13.011,BeaL13.01_11.JPG,lake,Beaver,M?,51.11,0.862604584,1.564334568,4.648641842,12.04068208,15.5468576,4.35,16.51371184,2.129475753,8.742027137,8.08323372,6.626452567,1.214866366,8.014450443
BeaL13.012,BeaL13.01_12.JPG,lake,Beaver,M,48.32,0.483643669,0.715259687,2.189637624,11.85645865,15.31598827,4.69,16.10731508,2.175764399,8.353961271,8.50327302,6.308851451,1.297626521,8.266052389
BeaL13.014,BeaL13.01_14.JPG,lake,Beaver,F,53.69,1.071904781,1.596430572,4.758430424,12.93370337,15.46522713,4.36,16.94410357,2.27278176,8.851302294,8.939411499,6.400893193,1.169212397,8.750553994
BeaL13.017,BeaL13.01_17.JPG,lake,Beaver,M,50.57,0.975645151,1.360365662,4.324478586,12.36070107,15.3933098,3.9,15.5473103,2.347789656,8.400776807,8.014254998,6.206820819,1.0065474,7.965117963
BeaL13.019,BeaL13.01_19.JPG,lake,Beaver,F,36.99,0.656313891,1.08259494,3.184426499,9.292263844,15.34936946,4,11.73237786,1.753802989,6.10470439,6.027934849,3.821810527,0.726954339,5.94830083
BeaL13.020,BeaL13.01_20.JPG,lake,Beaver,unknown,42.31,0.73325573,1.344749709,3.804251113,10.52987805,15.46379988,3.65,13.56409546,1.79530429,7.051261942,6.36964607,5.345065549,0.823835876,6.384258755
BeaL13.022,BeaL13.01_22.JPG,lake,Beaver,unknown,56.76,1.089949371,1.638381633,4.670625658,14.08533285,15.30814837,3.57,17.2130616,2.629246226,9.954731267,9.294010811,6.622140307,0.812537846,9.012354806
BeaL13.025,BeaL13.01_25.JPG,lake,Beaver,F,49.69,0.928539041,1.40443383,3.983349737,10.84679023,15.54608802,3.12,14.69721473,1.939522507,7.603171991,7.207251961,5.519687637,1.208374956,6.998211318
BeaL13.031,BeaL13.01_31.JPG,lake,Beaver,F,49.99,0.862077469,1.427267232,4.06364728,11.80508638,15.46979794,3.49,14.64658608,2.038323596,7.821179048,8.29189956,6.239961487,1.131114904,8.091018542
BeaL13.033,BeaL13.01_33.JPG,lake,Beaver,F,39.09,0.662691952,1.150231453,3.244809782,9.081393712,15.43148279,3.76,12.82859964,1.829278789,6.498131866,5.887106928,3.434903974,0.750850254,5.752805104
BeaL13.034,BeaL13.01_34.JPG,lake,Beaver,F,52.75,0.990728947,1.478794626,4.646664052,12.4016145,15.4675142,3.65,15.73792136,2.450938878,8.934597324,9.459510203,5.487011244,0.890307315,9.269491486
BeaL13.036,BeaL13.01_36.JPG,lake,Beaver,F,40.75,0.669462405,1.238641261,3.75506373,9.780211871,15.47316883,4.34,12.63460476,1.603972197,6.51611366,6.754269506,4.236779936,0.997891852,6.65664601
BooS13.062,Boo13LS.02_62.JPG,stream,Boot,M,42.57,0.757836103,1.049101174,3.363004792,9.675437269,15.59516111,4.29,12.93541822,2.348881585,7.073676261,6.866977061,4.291947556,0.883962136,6.756228553
BooS13.066,Boo13LS.02_66.JPG,stream,Boot,F,44.8,0.816459543,1.20921812,3.591610536,9.311315688,15.46951389,4.06,13.84381246,2.710536741,7.057173582,6.283548647,4.30411574,0.966490107,6.112624647
BooS13.068,Boo13LS.02_68.JPG,stream,Boot,M,58.05,1.343896834,1.896735387,5.413973112,13.95942985,15.46522713,4.21,19.22734712,3.247638057,9.971818349,9.169344605,6.316512242,1.450475427,8.741338886
BooS13.069,Boo13LS.02_69.JPG,stream,Boot,M,55.55,1.165389965,1.892824117,5.092400638,12.78243092,15.39255541,3.96,17.81453504,3.586249584,8.971098824,8.520160817,5.72243133,1.013504415,8.275531051
BooS13.070,Boo13LS.02_70.JPG,stream,Boot,F,43.69,0.890696878,1.117382123,3.463443333,9.76789834,15.54079921,3.84,13.91928442,2.737948886,7.040797383,6.527992544,4.11363422,0.764045325,6.309047286
BooS13.072,Boo13LS.02_72.JPG,stream,Boot,M,55.76,1.148892632,1.837323129,4.797151182,12.91520226,15.46646654,3.87,18.2963283,3.257399426,9.304705737,8.388858561,6.119009265,1.201058892,8.090241424
BooS13.073,Boo13LS.02_73.JPG,stream,Boot,F,58.95,1.200130679,1.87432995,4.914748289,10.95331914,15.46522713,4.38,18.32157212,3.318740918,8.999008042,8.532358429,5.933444271,1.401557521,8.064165638
BooS13.074,Boo13LS.02_74.JPG,stream,Boot,M,47.49,0.92636173,1.427962431,4.187566241,11.21659677,15.51920035,3.87,14.87287523,2.874188527,7.823903281,7.853894101,5.116207975,1.034353893,7.629237797
BooS13.075,Boo13LS.02_75.JPG,stream,Boot,M,49.47,0.981435165,1.239256639,4.359841984,11.25032602,15.59710399,3.27,15.13021411,2.229371597,8.523770568,8.137768057,5.654333767,1.260548128,8.145212945
BooS13.076,Boo13LS.02_76.JPG,stream,Boot,M,47.43,0.872956811,1.368648619,4.109097941,10.98755858,15.45221658,3.49,14.67147101,2.186856534,7.730640164,7.387220396,4.775582033,0.909439407,7.182752124
BooS13.077,Boo13LS.02_77.JPG,stream,Boot,F,54.5,1.0514767,1.369281578,4.402520841,12.65741571,15.54608802,3.19,15.55223575,3.224392696,8.691399107,8.319859348,5.247233538,0.894285292,8.258435192
BooS13.079,Boo13LS.02_79.JPG,stream,Boot,F,52.11,0.979316804,1.476244506,4.14713443,10.68079364,15.49484094,4.31,14.85234416,2.429223617,8.675863664,8.362084951,5.553092947,0.795005009,8.381646957
BooS13.082,Boo13LS.02_82.JPG,stream,Boot,F,55.11,0.841700387,1.421827735,4.209358287,12.47750487,15.46989391,4.05,16.30809697,3.210712145,9.018159003,8.229139909,5.783599702,0.726792826,8.040832786
BooS13.083,Boo13LS.02_83.JPG,stream,Boot,M,43.4,0.908376247,1.388828365,3.881662885,10.09743039,15.54454904,3.99,13.29215327,2.182954633,7.449124311,7.080148885,4.529012633,0.997741282,6.898493381
