watershed,MAP,total,dorsal_spine_1_len_mm_lateral,dorsal_spine_2_len_mm_lateral,dorsal_fin_len_mm_lateral,caudal_depth_mm_lateral,anal_fin_len_mm_lateral,pect_fin_insertion_len_mm_lateral,body_depth_mm_lateral,mouth_len_mm_lateral,snout_len_mm_lateral,eye_diam_mm_lateral,head_len_mm_lateral,pect_fin_wid_len_mm_lateral,pect_fin_len_mm_lateral,pect_fin_perim_mm_lateral,pect_fin_area_mm_lateral,standard_len_mm_lateral,buccal_cavity_length_mm,gape_width_mm,body_width_eye_mm,body_width_midbody_mm,pelvic_girdle_width_mm,pelvic_girdle_diamond_width_mm,pelvic_girdle_length_mm,pelvic_girdle_diamond_length_mm,body_width_anal_1_mm,body_width_anal_2_mm,Mass_g,Standard_Length_mm,Left_Side_Pelvic_Spine_Length_mm,Right_Side_Pelvic_Spine_Length_mm,Right_side_gill_raker_number_insitu,Right_Side_Gill_Raker_Number_dissected,Length_longest_raker_mm,Length_2nd_longest_raker_mm,Length_3rd_longest_raker_mm
northy,1498.0,39,3.326514605574195,4.134394404250897,11.301134257994784,2.2559495669150595,7.960412890184122,2.7338043302230073,10.652152975047755,2.546660378068557,3.584249729848127,4.236951704880485,13.87599063476127,6.920500677188565,5.324864781860746,19.66215191401085,704.9333760976419,45.937754707279375,10.332386357716334,3.1886529421129124,2.5537969513104395,3.992481435666599,4.403319229666283,2.8259788850029812,7.269782753575739,5.589713880654506,4.283487892927026,3.1075345282301825,1.472446014925544,45.3328947368421,5.118090140339795,5.267197412539105,17.80140536757308,17.663561733183545,0.9841393626501272,0.9790254267192053,0.920546157556817
boot,1574.0,40,4.956300684809279,6.162014643346982,11.762236594020067,1.8088038429410866,8.88934430685262,2.4465179360737563,9.16286309977283,2.038514336831104,3.3236642155515344,4.136528010291179,12.505106185517636,7.270128227296322,6.016022456728598,21.32281868825526,915.1708213670307,46.3199159233168,9.172091052320429,2.7467944690012147,2.3796071726721317,3.7496781953844227,4.281487227768512,2.5210232770258925,9.4741231488971,6.926943893063873,3.972124082587443,2.7152924771259994,1.1686517890757675,55.16250000000001,7.138163926712988,7.3441969242578224,16.926798958428343,33.85823708551864,0.8381552758451974,0.7934516711882892,0.8130336940574732
village.bay,1588.0,40,3.2461412510234107,4.503699322050409,10.589886870556477,1.7537500333157783,7.7489410536898715,2.122431547661541,9.409010045484811,2.273755892284649,3.2939857077837247,4.661801503434991,12.95023752892224,5.290350482687563,4.809439138223293,16.418866591784866,496.47341893352376,45.83592796965934,10.126135210175706,2.706543971735438,2.0423094250946607,3.8298923148606354,4.038129446997241,2.464052346334998,8.5853997063157,6.442780529230996,4.021222221362985,2.7124526086332783,1.2600614652193884,40.354,5.778821487821425,5.751660494921728,21.545297477457925,20.26117336384491,1.1780317052130482,1.137461149759535,1.089282168650873
comida,1690.0,40,4.4617205550376875,5.17454292308601,11.39687054465377,1.8442703407588918,8.596357893015549,2.843454001197131,9.657452097966713,2.3363791850061637,3.6130386927008122,4.314672573025548,13.548849059750207,7.669518214037697,5.301285931929018,20.333538766486907,767.8678957079999,45.893081670227865,10.319725637513432,2.93581441025922,2.456801720219525,3.8359519446694312,4.305591940604074,2.713553066643238,9.410523184896963,6.294788794694719,4.011632642417009,2.7919963627167967,1.240302106936428,47.27513513513512,6.997415381598103,7.1480459187809515,19.42946953703008,18.984546373832988,0.7988913761603091,0.7718221420971506,0.7353358119345957
roberts,1753.0,50,3.8082391419146258,4.694763594045561,11.316323946482816,1.8210975579404256,8.000599936703612,2.4383507686901362,9.286472201936006,2.3415255643393134,3.390880019163067,4.500328694336339,13.027202775155464,7.061643783512549,5.900804687029693,20.688670787553455,757.487743140739,45.5053883871081,10.21573879453451,2.955757848869742,2.467573686766084,3.960719831724256,4.41059830195116,2.6449096080679433,8.351762445180942,6.192419140046641,4.041875346326717,2.755726736827167,1.2679525517111874,39.01489795918368,6.138149642928714,6.213239928378883,22.460930545640192,63.5213944683808,0.9327856757526803,0.8988296788298664,0.8918667201482573
thiemer,1896.0,40,4.931819277924242,5.727847628517408,11.522786679410677,1.8853247497340653,8.30724150711364,2.7262851771413295,9.977066875615916,2.4426266905482397,3.6025747419603085,4.2164242579582405,13.213196745892384,6.663564536175758,6.223519393646389,20.954133428474858,1065.6149357562142,45.75661009470002,9.8419985445868,2.75386602130486,2.342739166405427,4.177988505673735,4.932505503375105,3.354682610340205,9.664336919308958,7.121346365661123,4.084548288273806,2.602366470301326,1.29488771633253,62.333947368421065,7.3389242960569385,7.3892520793491965,14.88715344527996,14.852466552300589,0.9103942626965631,0.8834504848920804,0.883200740937802
misty,2006.0,40,5.065107816807,5.598678654156905,11.201915100170238,1.9709377241489807,8.508391450172134,2.557260095605645,10.085287119952236,2.086412649554623,3.715113511574901,4.07282765483986,13.445192300414293,7.661447386704803,5.5789593748850095,21.165995559918795,1201.2623646267607,46.14222605053605,10.015159948685307,2.938251803397292,2.6466234916625075,3.9912174201715485,4.531769551530767,2.7241739033743047,9.605324764328467,6.97975406057807,4.000838426172038,2.730130361658091,1.2596991785010705,55.37384615384615,7.576994150543419,7.705071322888152,16.080572374159974,15.66526229600167,0.9424229255024241,0.9022607330397224,0.8991346145469098
beaver,2084.0,44,4.002536871598147,4.758269337767829,10.759042724614854,1.8597360336416453,7.975000638085181,2.4303501472567532,9.08614801543785,2.1082346644599044,3.281088399596134,4.300336875387088,13.033443519674586,7.4598225016081985,5.564726390866693,20.577861035238413,890.9864412308619,45.43732869908033,10.744623954898763,2.988021629203357,2.560473221767749,3.434004868802838,3.732541829418355,2.099294885879756,7.103927927813868,5.5331218049722715,4.086546153123122,2.891158344521025,1.174133883568559,43.63511627906976,6.0103922417431725,6.0877498870305065,19.184716814307126,19.184716814307126,0.8741698257872413,0.8481442255936499,0.8411613857558403
joe,2115.0,40,4.73634701534055,5.307920615109995,11.559008860475505,1.9617291242800798,8.912875827373384,2.7972924215703574,10.169535423208771,2.2010055641993924,3.3995720468371258,4.382196259004392,13.125048276783703,7.08059751794036,6.022759764726904,20.656311110818802,944.7545960142082,45.55915395952098,9.565693858360948,2.4954096617291706,1.9575574244411682,3.6968701033242857,4.334835064112722,2.838503929620894,9.505904345511489,6.647076163758384,4.016971000270438,2.585917409263064,1.5459003091898889,54.510256410256424,7.6213670489802805,7.69139814615279,16.012279804177158,18.92482352006668,1.1129159080103663,1.0553616102320718,1.0334031885371686
muchalat,2386.0,40,4.648732849323039,5.5181804393929195,10.904087568794719,1.8319745134575725,7.851432984151488,2.8019438639678764,9.936614669726213,2.321648588932489,2.8379730219049217,4.372464886667117,12.314912199441869,6.200758279068286,5.9262602639841475,19.801672358355145,627.4794638764155,45.682853197202505,9.011658364773151,2.7509666092480214,2.2973025045977,4.118508518309075,4.8647853379171115,2.9964719604976224,9.970867002136243,6.84373608293097,3.6872129875829436,2.4299090774540693,1.2978467228001538,41.22102564102564,6.996215005946019,7.350337182753345,23.414935576562208,23.294284735122744,0.8213096745049211,0.7799051851745278,0.7683490843423861
pachena,2780.0,40,3.4003620030984862,4.359499814938483,11.624855297685958,1.6149744806285764,8.420478770970748,2.354156341189334,8.815762977622763,2.188286828426555,2.934119189515136,4.569605472527501,12.30989965898608,5.97871223218262,5.9008441125703985,19.082086143383158,668.5162800095165,45.79742700915546,8.879202644508718,2.5824320217100336,2.0685745966087348,3.7167349124245,3.9679331588785454,2.1916893512670668,8.662607092587798,6.520143120316078,4.29377406044482,2.9103914712787606,1.215306600803881,38.296749999999996,5.802519970408828,6.0351137793845835,27.33677480372603,27.42879853771978,0.949337887484212,0.9248822676184668,0.8857997453332993
