Trait,Coefficient
dorsal_spine_1_len_mm_lateral,0.595842530437932
dorsal_spine_2_len_mm_lateral,0.464076950047622
dorsal_fin_len_mm_lateral,0.1273765485537539
caudal_depth_mm_lateral,0.33014903178294264
anal_fin_len_mm_lateral,0.19642912759602008
pect_fin_insertion_len_mm_lateral,0.3019880723977326
body_depth_mm_lateral,0.23457233535493968
mouth_len_mm_lateral,0.2677044328036296
snout_len_mm_lateral,0.3662429123483838
eye_diam_mm_lateral,0.16302494805059478
head_len_mm_lateral,0.1573862047014855
pect_fin_wid_len_mm_lateral,0.4079031311730691
pect_fin_len_mm_lateral,0.2485198552087225
pect_fin_perim_mm_lateral,0.2657284411091547
pect_fin_area_mm_lateral,1.0548345306354392
standard_len_mm_lateral,0.02142973442316131
buccal_cavity_length_mm,0.22442230093541085
gape_width_mm,0.2528316175960714
body_width_eye_mm,0.374298887297525
body_width_midbody_mm,0.2853993033681446
pelvic_girdle_width_mm,0.36008650601676656
pelvic_girdle_diamond_width_mm,0.566759083093721
pelvic_girdle_length_mm,0.39112615165652037
pelvic_girdle_diamond_length_mm,0.298897750592636
body_width_anal_1_mm,0.16508485164441333
body_width_anal_2_mm,0.2182931472678205
Mass_g,0.3461662424927758
Standard_Length_mm,0.6057437397397771
Left_Side_Pelvic_Spine_Length_mm,0.4466888608658609
Right_Side_Pelvic_Spine_Length_mm,0.4437495365256842
Right_side_gill_raker_number_insitu,0.6476809432820548
Right_Side_Gill_Raker_Number_dissected,1.8477085123236991
Length_longest_raker_mm,0.5561212278374061
Length_2nd_longest_raker_mm,0.5659198519743726
Length_3rd_longest_raker_mm,0.5593833002919094
