watershed,dorsal.spine.1.len.mm.lateral,dorsal.spine.2.len.mm.lateral,dorsal.fin.len.mm.lateral,caudal.depth.mm.lateral,anal.fin.len.mm.lateral,pect.fin.insertion.len.mm.lateral,body.depth.mm.lateral,mouth.len.mm.lateral,snout.len.mm.lateral,eye.diam.mm.lateral,head.len.mm.lateral,pect.fin.wid.len.mm.lateral,pect.fin.len.mm.lateral,pect.fin.perim.mm.lateral,pect.fin.area.mm.lateral,standard.len.mm.lateral,buccal.cavity.length.mm,gape.width.mm,body.width.eye.mm,body.width.midbody.mm,pelvic.girdle.width.mm,pelvic.girdle.diamond.width.mm,pelvic.girdle.length.mm,pelvic.girdle.diamond.length.mm,body.width.anal.1.mm,body.width.anal.2.mm,Habitat.L.0..S.1,Mass.g,Standard.Length.mm,Left.Side.Pelvic.Spine.Length.mm,Left.Side.Plate.Count,Right.Side.Pelvic.Spine.Length.mm,Right.side.plate.count,Right.side.gill.raker.number.insitu,Right.Side.Gill.Raker.Number.dissected,Length.longest.raker.mm,Length.2nd.longest.raker.mm,Length.3rd.longest.raker.mm,raker.density.per.mm
beaver,3.36,4.06,8.63,1.65,6.42,2.29,7.4,1.42,2.35,3.45,10.31,6.3,4.76,17.12,488.68,38.36,8.77,2.6,2.56,2.81,3.11,1.62,5.34,4.58,3.04,2.38,0,0.64,37.75,4.61,5,4.74,5,18,18,0.56,0.47,0.48,3.97
beaver,3.23,4.4,11.71,1.87,7.77,2.51,8.62,1.49,2.97,4.15,12.07,6.46,4.57,18.63,758.65,44.08,10.2,3.02,2.57,4.25,3.84,2.07,7.54,5.37,3.88,2.8,0,1.21,43.72,5.66,5,5.96,5,18,18,0.71,0.68,0.68,2.64
beaver,3.91,4.13,9.47,1.58,7.62,2.39,8.42,2.01,3.22,3.8,12.09,7.24,5.35,19.95,895.83,40.71,9.55,2.69,2.64,2.89,3.63,2.38,6.38,4.79,3.75,2.68,0,0.85,40.52,5.02,4,5.07,4,18,18,0.68,0.66,0.7,3.94
beaver,3.78,4.43,8.43,1.37,6.31,1.78,7.18,1.25,2.54,3.31,10.36,5.62,4.65,16.49,613.48,38.32,8.99,2.39,2.28,2.65,3.04,1.87,5.59,4.44,3.26,2.45,0,0.63,37.85,4.94,5,5.44,5,18,18,0.58,0.53,0.59,3.11
beaver,3.57,3.88,9.22,1.55,7.55,2.01,7.86,2.01,2.96,3.99,11.58,5.2,4.81,16.87,638.15,38.44,9.26,2.44,2.44,3.1,3.06,1.64,6.6,5.18,3.47,2.51,0,0.73,37.42,4.86,6,4.91,5,17,17,0.67,0.66,0.59,3.59
beaver,3.94,4.38,11.49,1.95,8.26,3.59,10.24,2.13,3.58,4.54,13.97,8.82,6.29,23.77,929.95,47.78,10.81,3.36,3.33,4.3,4.48,2.72,6.6,5.01,3.74,2.55,0,1.45,46.43,5.8,5,5.92,5,16,16,0.66,0.54,0.75,2.75
beaver,4.83,5.68,12.97,2.12,9.5,2.89,10.61,3.13,3.79,4.97,15.38,10.37,6.88,27.08,1676.68,52.73,12.38,3.67,2.86,4.12,4.17,2.21,8.68,7.89,5.44,3.8,0,1.99,52.94,7.3,5,7.31,5,18,18,1.33,1.36,1.34,2.21
beaver,3.8,4.56,11.3,2.04,7.99,2.71,9.95,1.88,3.8,4.52,14.05,NA,NA,NA,NA,49.33,11.5,3.77,3.48,3.9,4.37,3.12,7.49,6.09,3.99,2.73,0,1.46,48.93,6.29,4,5.79,4,16,16,0.93,0.88,0.99,2.06
beaver,2.84,4.02,9.41,1.54,6.47,1.91,7.31,2.13,2.8,3.55,11.07,4.87,3.52,12.95,383.88,36.79,8.85,2.16,1.58,2.53,2.92,1.5,5.32,4.33,3.2,2.44,0,0.59,35.87,4.97,5,5.2,5,18,18,0.73,0.72,0.66,3.41
beaver,4.78,5.49,14.18,2.48,10.55,2.77,10.97,2.66,3.91,5.03,15.79,7.76,7.2,23.76,1269.49,54.91,13,4.1,3.22,3.91,4.32,2.72,8.6,6.16,5.01,3.19,0,2,54.97,6.8,6,7.05,6,17,17,1.17,1.28,0.94,2.24
beaver,4.72,5.27,12.7,2.21,9.57,2.79,10.58,2.69,3.86,4.97,14.94,8.68,6.59,24.25,1375.6,50.93,12.04,3.76,3.3,4.38,4.79,2.44,7.56,6.83,4.4,3.03,0,1.82,51.11,7.3,5,7.05,5,17,17 Rakers along mouth were separated count confirmed,0.85,0.9,0.95,2.52
beaver,3.81,4.05,12.12,2.22,9.14,2.31,9.7,2.66,3.99,4.84,15.07,6.07,6.24,19.79,861.02,48.77,11.86,3.65,3.06,3.4,3.65,2.26,7.66,5.69,4.48,3.08,0,1.47,48.32,5.21,6,5.59,6,19,19,0.84,0.85,0.84,3.75
beaver,3.99,4.71,11.19,2.07,8.58,2.37,9.64,2.22,3.12,4.36,13.51,7.77,5.53,20.88,1050.67,47.64,11.76,3.17,2.78,4.24,4.14,1.99,7.06,5.93,3.89,2.75,0,1.48,48.46,6.32,5,6.44,5,19,19,1,0.9,0.91,2.63
beaver,4.68,5.38,13.89,2.23,10.81,3.07,11.56,2.99,4.21,5.05,16.15,9.53,6.72,25,1474.36,54.78,12.93,4.14,3.69,4.48,4.62,2.43,7.97,6.05,5.23,3.77,0,2.24,53.69,6.31,5,6.51,5,20,20,1.19,1.05,1.07,2.63
beaver,3.6,4.11,8.6,1.68,6.97,1.87,7.36,2.24,2.83,3.74,11.26,6.87,5.18,18.85,826.45,38.98,9.01,2.28,2.03,2.31,2.8,1.45,6.24,4.57,3.09,2.38,0,0.61,37.61,5.59,5,5.44,4,17,17 top rakers separated but count confirmed,0.7,0.74,0.83,3.5
beaver,2.26,4.01,7.26,1.29,5.09,1.77,6.69,0.73,2.03,3.42,8.86,5.16,3.79,14.47,470.69,31.85,8.34,1.72,1.57,2.48,2.52,1.19,5.94,4,2.77,1.92,0,0.4,31.32,4.84,5,4.75,4,18,18,0.61,0.64,0.47,4.58
beaver,3.75,4.27,11.72,2.39,8.14,2.6,10.03,2.69,3.94,4.87,14.8,9.3,6.59,24.36,952.52,50.87,12.36,3.58,3.03,3.67,3.9,2.09,5.74,4.67,4.39,3.41,0,1.59,50.57,6.25,6,6.4,6,19,19,1,0.92,0.89,2.44
beaver,4.91,5.84,14.08,2.67,10.29,3.06,11.34,3.03,4.64,5.4,16.74,11.13,6.83,28.62,1814.74,56.27,14.23,3.99,3.42,3.76,4.46,2.23,8.6,6.81,5.39,4.04,0,2.35,55.72,7.81,6,7.69,7,18,18,1.31,1.27,1.3,2.17
beaver,3.28,4.04,9.22,1.45,6.04,1.92,7.75,1.92,2.64,3.56,11.22,5.99,4.06,16.37,630.52,37.56,9.29,2.11,1.61,2.95,3.22,1.63,5.55,4.18,3.53,2.5,0,0.66,36.99,5.18,4,5.06,5,18,18,0.72,0.65,0.67,4.2
beaver,3.66,4.21,9.3,1.64,7.37,2.65,8.83,2.21,3.26,4.16,12.9,6.59,5.3,19.36,887.48,43.22,10.53,2.64,2.47,3.07,3.51,1.99,6.59,4.96,3.95,2.52,0,1,42.31,5.14,5,5.68,6,21,21,0.79,0.73,0.84,2.99
beaver,4.24,5.23,10.64,1.78,7.32,2.9,8.64,1.98,2.87,4.1,11.79,7.44,4.96,20.41,837.85,43.33,9.9,3.22,3.04,3.98,4.02,1.85,6.47,5.61,3.65,2.9,0,1.08,42.69,6.1,5,6.44,4,18,18,0.8,0.65,0.8,3.17
beaver,5.02,6.13,14.85,2.41,11.2,3.07,11.32,2.39,4.8,4.99,16.52,10.42,6.6,26.64,1209.75,55.94,14.09,3.7,3.46,4.08,4.57,2.38,9.64,7.75,5.39,3.78,0,2.2,56.76,7.68,4,7.6,5,18,18,1.52,1.47,1.28,2.3
beaver,4.68,5.29,10.75,1.84,6.89,2.22,8.74,2.1,2.87,4.47,13,8.1,5.83,21.83,1087.78,46.09,10.41,3.08,2.52,3.61,3.72,2.29,7.27,5.44,3.73,3.07,0,1.17,45.65,6.14,5,6.01,5,17,17,0.77,0.85,0.7,2.68
beaver,4.1,5.65,11.28,1.82,7.43,2.12,9.62,1.72,3.39,4.23,13.3,8.36,5.83,22.5,1142.33,48.2,10.91,3.24,2.83,3.76,4,1.99,7.31,6.88,3.68,2.68,0,1.3,47.17,6.6,3,6.54,3,18,18,0.85,0.81,0.64,2.35
beaver,4.01,4.84,10.87,1.86,7.74,2.44,9.24,1.65,3.45,4.38,13.92,8.61,7,23.6,1307.8,50.51,10.85,3.25,3.84,3.82,4.15,2.44,8.48,7.32,4.55,3.12,0,1.38,49.69,6.97,5,7.08,5,17,17,0.93,1.11,1.02,2.69
beaver,5.01,5.48,11.27,1.77,8.37,2.89,8.56,1.52,2.87,3.91,12.44,7.2,6.57,22.16,856.95,47.96,10.35,3.32,2.79,2.95,3.48,2.01,8.5,6.78,4.07,2.81,0,1.25,48.74,7.67,4,7.28,4,19,19,0.98,0.98,0.99,3.41
beaver,3.28,4.25,9.01,1.43,6.35,2.38,7.57,1.51,2.72,3.66,10.92,6.03,4.08,15.8,530.93,38.87,8.55,2.3,2.02,2.72,3.05,1.66,4.7,3.94,3.32,2.63,0,0.65,38.07,5.42,5,5.33,5,18,18,0.67,0.64,0.57,3.5
beaver,3.58,4.37,7.87,1.26,5.12,1.91,7.83,1.33,2.81,3.16,10.66,7.15,4.32,18.25,689.03,37.54,9.01,2.4,1.95,2.95,3.08,2.01,5.53,4.61,3,2.28,0,0.62,36.48,4.95,5,5.56,5,17,17,0.67,0.64,0.67,4.1
beaver,3.57,4.08,8.15,1.48,5.38,1.93,7.04,1.27,3.05,3.56,10.74,5.2,4,15.17,493.37,37.23,8.94,2.78,2.14,2.67,2.81,1.5,4.86,4.09,3.06,1.9,0,0.58,36.42,4.65,5,4.69,4,18,18,0.66,0.76,0.6,3.48
