fishID.univ,n,fishID.lateral,watershed,habitat,watershed.habitat,dorsal.spine.1.len.mm.lateral,dorsal.spine.2.len.mm.lateral,dorsal.fin.len.mm.lateral,caudal.depth.mm.lateral,anal.fin.len.mm.lateral,pect.fin.insertion.len.mm.lateral,body.depth.mm.lateral,mouth.len.mm.lateral,snout.len.mm.lateral,eye.diam.mm.lateral,head.len.mm.lateral,pect.fin.wid.len.mm.lateral,pect.fin.len.mm.lateral,pect.fin.perim.mm.lateral,pect.fin.area.mm.lateral,standard.len.mm.lateral,n.1,file.name.ventral,watershed.1,habitat.1,buccal.cavity.length.mm,gape.width.mm,body.width.eye.mm,body.width.midbody.mm,pelvic.girdle.width.mm,pelvic.girdle.diamond.width.mm,pelvic.girdle.length.mm,pelvic.girdle.diamond.length.mm,body.width.anal.1.mm,body.width.anal.2.mm,FishID.ArmorGills,Watershed,Habitat.L.0..S.1,sequenced.neuro..funct..from.these,Mass.g,Standard.Length.mm,Left.Side.Pelvic.Spine.Length.mm,Left.Side.Plate.Count,Right.Side.Pelvic.Spine.Length.mm,Right.side.plate.count,Notes,Right.side.gill.raker.number.insitu,Right.Side.Gill.Raker.Number.dissected,FileName.GillRakerDig,Length.longest.raker.mm,Length.2nd.longest.raker.mm,Length.3rd.longest.raker.mm,raker.density.per.mm
BeaL13.001,1,BeaL13.01_01_side_retake.JPG,beaver,lake,beaver.L,3.36,4.06,8.63,1.65,6.42,2.29,7.4,1.42,2.35,3.45,10.31,6.3,4.76,17.12,488.68,38.36,1,BeaL13.01_01b_ventral_retake.JPG,beaver,lake,8.77,2.6,2.56,2.81,3.11,1.62,5.34,4.58,3.04,2.38,BeaL13.01_01,Beaver,0,yes,0.64,37.75,4.61,5,4.74,5,,18,18,BeaL13.01_01.JPG,0.56,0.47,0.48,3.97
BeaL13.002,2,BeaL13.01_02.JPG,beaver,lake,beaver.L,3.23,4.4,11.71,1.87,7.77,2.51,8.62,1.49,2.97,4.15,12.07,6.46,4.57,18.63,758.65,44.08,2,BeaL13.01_02.JPG,beaver,lake,10.2,3.02,2.57,4.25,3.84,2.07,7.54,5.37,3.88,2.8,BeaL13.01_02,Beaver,0,yes,1.21,43.72,5.66,5,5.96,5,,18,18,BeaL13.01_02a.JPG,0.71,0.68,0.68,2.64
BeaL13.003,3,BeaL13.01_03.JPG,beaver,lake,beaver.L,3.91,4.13,9.47,1.58,7.62,2.39,8.42,2.01,3.22,3.8,12.09,7.24,5.35,19.95,895.83,40.71,3,BeaL13.01_03.JPG,beaver,lake,9.55,2.69,2.64,2.89,3.63,2.38,6.38,4.79,3.75,2.68,BeaL13.01_03,Beaver,0,yes,0.85,40.52,5.02,4,5.07,4,,18,18,BeaL13.01_03.JPG,0.68,0.66,0.7,3.94
BeaL13.004,4,BeaL13.01_04.JPG,beaver,lake,beaver.L,3.78,4.43,8.43,1.37,6.31,1.78,7.18,1.25,2.54,3.31,10.36,5.62,4.65,16.49,613.48,38.32,4,BeaL13.01_04.JPG,beaver,lake,8.99,2.39,2.28,2.65,3.04,1.87,5.59,4.44,3.26,2.45,BeaL13.01_04,Beaver,0,no,0.63,37.85,4.94,5,5.44,5,,18,18,BeaL13.01_04.JPG,0.58,0.53,0.59,3.11
BeaL13.005,5,BeaL13.01_05.JPG,beaver,lake,beaver.L,3.57,3.88,9.22,1.55,7.55,2.01,7.86,2.01,2.96,3.99,11.58,5.2,4.81,16.87,638.15,38.44,5,BeaL13.01_05.JPG,beaver,lake,9.26,2.44,2.44,3.1,3.06,1.64,6.6,5.18,3.47,2.51,BeaL13.01_05,Beaver,0,yes,0.73,37.42,4.86,6,4.91,5,,17,17,BeaL13.01_05.JPG,0.67,0.66,0.59,3.59
BeaL13.006,6,BeaL13.01_06_side_retake.JPG,beaver,lake,beaver.L,3.94,4.38,11.49,1.95,8.26,3.59,10.24,2.13,3.58,4.54,13.97,8.82,6.29,23.77,929.95,47.78,6,BeaL13.01_06_ventral_retake.JPG,beaver,lake,10.81,3.36,3.33,4.3,4.48,2.72,6.6,5.01,3.74,2.55,BeaL13.01_06,Beaver,0,yes,1.45,46.43,5.8,5,5.92,5,,16,16,BeaL13.01_06.JPG,0.66,0.54,0.75,2.75
BeaL13.007,7,BeaL13.01_07.JPG,beaver,lake,beaver.L,4.83,5.68,12.97,2.12,9.5,2.89,10.61,3.13,3.79,4.97,15.38,10.37,6.88,27.08,1676.68,52.73,7,BeaL13.01_07.JPG,beaver,lake,12.38,3.67,2.86,4.12,4.17,2.21,8.68,7.89,5.44,3.8,BeaL13.01_07,Beaver,0,yes,1.99,52.94,7.3,5,7.31,5,,18,18,BeaL13.01_07.JPG,1.33,1.36,1.34,2.21
BeaL13.008,8,BeaL13.01_08.JPG,beaver,lake,beaver.L,3.8,4.56,11.3,2.04,7.99,2.71,9.95,1.88,3.8,4.52,14.05,NA,NA,NA,NA,49.33,8,BeaL13.01_08_ventral_retake.JPG,beaver,lake,11.5,3.77,3.48,3.9,4.37,3.12,7.49,6.09,3.99,2.73,BeaL13.01_08,Beaver,0,yes,1.46,48.93,6.29,4,5.79,4,,16,16,BeaL13.01_08.JPG,0.93,0.88,0.99,2.06
BeaL13.009,9,BeaL13.01_09.JPG,beaver,lake,beaver.L,2.84,4.02,9.41,1.54,6.47,1.91,7.31,2.13,2.8,3.55,11.07,4.87,3.52,12.95,383.88,36.79,9,BeaL13.01_09.JPG,beaver,lake,8.85,2.16,1.58,2.53,2.92,1.5,5.32,4.33,3.2,2.44,BeaL13.01_09,Beaver,0,yes,0.59,35.87,4.97,5,5.2,5,,18,18,BeaL13.01_09.JPG,0.73,0.72,0.66,3.41
BeaL13.010,10,BeaL13.01_10.JPG,beaver,lake,beaver.L,4.78,5.49,14.18,2.48,10.55,2.77,10.97,2.66,3.91,5.03,15.79,7.76,7.2,23.76,1269.49,54.91,10,BeaL13.01_10.JPG,beaver,lake,13,4.1,3.22,3.91,4.32,2.72,8.6,6.16,5.01,3.19,BeaL13.01_10,Beaver,0,yes,2,54.97,6.8,6,7.05,6,,17,17,BeaL13.01_10.JPG,1.17,1.28,0.94,2.24
