watershed,total,dorsal_spine_1_len_mm_lateral,dorsal_spine_2_len_mm_lateral,dorsal_fin_len_mm_lateral,caudal_depth_mm_lateral,anal_fin_len_mm_lateral,pect_fin_insertion_len_mm_lateral,body_depth_mm_lateral,mouth_len_mm_lateral,snout_len_mm_lateral,eye_diam_mm_lateral,head_len_mm_lateral,pect_fin_wid_len_mm_lateral,pect_fin_len_mm_lateral,pect_fin_perim_mm_lateral,pect_fin_area_mm_lateral,standard_len_mm_lateral,buccal_cavity_length_mm,gape_width_mm,body_width_eye_mm,body_width_midbody_mm,pelvic_girdle_width_mm,pelvic_girdle_diamond_width_mm,pelvic_girdle_length_mm,pelvic_girdle_diamond_length_mm,body_width_anal_1_mm,body_width_anal_2_mm,Habitat_L_0__S_1,Mass_g,Standard_Length_mm,Left_Side_Pelvic_Spine_Length_mm,Left_Side_Plate_Count,Right_Side_Pelvic_Spine_Length_mm,Right_side_plate_count,Right_side_gill_raker_number_insitu,Right_Side_Gill_Raker_Number_dissected,Length_longest_raker_mm,Length_2nd_longest_raker_mm,Length_3rd_longest_raker_mm,raker_density_per_mm
beaver,44,3.869545454545454,4.587272727272729,10.496136363636365,1.8170454545454549,7.762727272727272,2.3624999999999994,8.829772727272728,2.0543181818181817,3.195909090909091,4.161363636363636,12.657499999999999,7.282325581395349,5.41860465116279,20.042558139534883,894.2462790697672,44.139545454545456,10.417954545454547,2.936136363636363,2.5254545454545463,3.3450000000000006,3.6368181818181813,2.0595454545454555,6.896590909090909,5.395227272727272,3.9731818181818186,2.8052272727272727,0.0,1.1586363636363635,43.75545454545455,5.826363636363634,4.886363636363637,5.887045454545455,4.931818181818182,18.136363636363637,18.136363636363637,0.8572727272727274,0.831818181818182,0.8252272727272728,3.121818181818182
boot,40,6.6362499999999995,7.865750000000001,16.071500000000004,2.50875,12.029499999999997,3.4635000000000007,12.658250000000002,2.9859999999999998,4.799250000000001,5.5615000000000006,17.386999999999997,10.298250000000001,8.392,29.216000000000008,1465.56,61.904250000000005,13.002249999999998,3.8387499999999988,2.91725,5.438250000000001,5.9325,3.8665000000000007,12.630500000000001,9.107000000000001,5.59375,3.9577499999999994,0.0,3.178,60.663,8.76125,7.15,9.676153846153847,7.325,20.375,28.175,1.2507500000000003,1.2169999999999996,1.1944999999999997,2.5129999999999995
comida,40,4.663749999999999,5.415384615384615,12.030750000000001,1.9459999999999997,9.099750000000004,3.0015,10.179749999999999,2.470999999999999,3.83825,4.547500000000001,14.311499999999999,8.075384615384612,5.549487179487179,21.32410256410256,826.565641025641,48.16775,10.818,3.11775,2.5995000000000004,4.04875,4.567435897435898,2.875,9.84975,6.608999999999999,4.186750000000002,2.9072500000000003,0.0,1.5752500000000003,47.206999999999994,7.34525,7.05,7.497250000000001,7.128205128205129,19.95,19.5,0.8517500000000003,0.8244999999999999,0.7832500000000001,3.2177499999999997
frederick,40,3.6167499999999997,4.186249999999999,10.50725,1.5282499999999999,7.7315,2.34625,8.10375,2.1624999999999996,3.18575,4.02725,11.889249999999995,5.9144999999999985,5.101500000000002,17.831250000000004,544.1025000000001,40.997749999999996,8.523,2.3465,1.8690000000000002,2.9655000000000005,3.50875,2.0477499999999997,8.00675,5.6075,3.3135000000000003,2.44525,0.0,0.8229999999999997,40.666,6.0615000000000006,7.475,6.147,7.675,19.925,21.0,1.003,0.9545,0.96175,4.021249999999999
joe,40,5.715249999999999,6.342499999999999,14.017500000000004,2.3834999999999997,10.883250000000002,3.332,12.26525,2.66675,4.176750000000001,5.281250000000001,15.816500000000001,8.634999999999998,7.228250000000001,24.957,1219.8165,54.809000000000005,11.465250000000001,3.004,2.37225,4.49975,5.249999999999999,3.5182499999999997,11.510249999999997,8.043999999999999,4.878500000000001,3.134000000000001,0.0,2.946,54.08175000000002,9.070249999999998,7.0,9.146999999999998,6.95,18.175,20.794871794871796,1.3535,1.2865000000000002,1.2599999999999998,2.8069999999999995
kennedy,40,4.784750000000001,5.620499999999998,11.412749999999999,1.95775,8.639750000000001,2.7479999999999998,10.282250000000001,2.5892500000000003,4.4932500000000015,4.73925,14.966750000000001,8.811499999999999,6.550749999999999,24.40925,1257.1427499999995,48.31349999999999,11.147,3.133000000000001,2.88025,4.186749999999999,4.595999999999999,2.74625,10.068,7.357499999999999,4.3260000000000005,2.9765000000000006,0.0,1.5100000000000002,47.25,7.688000000000001,19.6,7.842000000000001,19.8,22.3,22.325,1.3859999999999997,1.3472500000000003,1.326,3.4682500000000003
misty,40,6.229750000000001,6.8762500000000015,13.809500000000003,2.4305000000000008,10.469999999999995,3.1175,12.47875,2.6005,4.591750000000001,5.013249999999998,16.590749999999993,9.386,6.8862499999999995,25.99,1505.6197499999998,56.96625,12.286500000000004,3.62875,3.2987500000000005,4.960250000000001,5.6015,3.412999999999999,11.8365,8.623000000000001,4.937749999999999,3.351249999999999,0.0,2.5075,55.54425,9.263333333333334,5.8,9.451999999999998,5.85,19.425,18.925,1.1519999999999997,1.1025,1.1067500000000003,2.6717500000000003
moore,40,6.2589999999999995,6.71102564102564,13.536750000000001,2.3504999999999994,10.25975,3.0767499999999997,12.62625,2.6595000000000004,4.180249999999999,4.70975,15.400500000000003,8.57,6.85625,24.736000000000004,1504.2812499999995,53.86225,11.398749999999998,3.526,3.00175,5.335749999999999,6.2517499999999995,4.263000000000001,12.418000000000001,8.64175,4.96575,3.03925,0.0,2.613500000000001,52.84525000000001,8.964500000000003,5.95,9.14425,6.025,18.925,24.925,1.0377499999999997,0.9857500000000001,0.9627499999999998,2.7937499999999997
muchalat,40,4.24051282051282,5.032499999999999,10.008750000000003,1.6849999999999998,7.251,2.565500000000001,9.122249999999998,2.158,2.6232499999999996,4.0155,11.348749999999999,5.73925,5.492749999999999,18.3365,595.9190000000001,42.0005,8.271250000000002,2.5447499999999996,2.1294999999999997,3.782750000000001,4.462749999999998,2.7860000000000005,9.164500000000002,6.2802500000000006,3.3720000000000008,2.2112499999999997,0.0,1.0472499999999998,41.32275,6.4215,8.7,6.707249999999999,8.825,21.05,20.95,0.7565000000000001,0.7204999999999998,0.7045000000000001,4.0249999999999995
northy,39,3.328421052631579,4.1000000000000005,11.386666666666663,2.267435897435898,7.986410256410257,2.743589743589744,10.694615384615387,2.543846153846154,3.5905128205128207,4.25025641025641,13.900000000000004,6.927692307692308,5.343589743589743,19.706923076923076,710.8105128205128,46.111794871794864,10.337948717948716,3.206153846153846,2.5633333333333335,4.0148717948717945,4.439230769230771,2.857948717948718,7.328717948717949,5.623846153846155,4.284615384615385,3.1112820512820516,0.0,1.5466666666666664,45.197435897435895,5.1005128205128205,4.6923076923076925,5.261538461538462,4.948717948717949,17.692307692307693,17.53846153846154,0.989230769230769,0.9851282051282052,0.9235897435897434,2.9530769230769236
